% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
29.0,174.0,6.0,0.0,174.0,29.0,29.0,7968.0,1328.0,1328.0,No
175.0,1050.0,6.0,0.0,1050.0,175.0,175.0,7968.0,1328.0,1328.0,No
27.0,162.0,6.0,0.0,162.0,27.0,27.0,7968.0,1328.0,1328.0,No
244.0,1464.0,6.0,0.0,1464.0,244.0,244.0,7968.0,1328.0,1328.0,No
98.0,624.0,12.0,0.0,606.0,98.0,50.0,7968.0,1328.0,664.0,No
37.0,222.0,6.0,0.0,222.0,37.0,37.0,7968.0,1328.0,1328.0,No
31.0,186.0,6.0,0.0,186.0,31.0,31.0,7968.0,1328.0,1328.0,No
66.0,396.0,6.0,0.0,396.0,66.0,66.0,7968.0,1328.0,1328.0,No
107.0,642.0,12.0,0.0,642.0,97.0,53.0,8004.0,1328.0,667.0,No
35.0,210.0,6.0,0.0,210.0,35.0,35.0,7968.0,1328.0,1328.0,No
37.0,222.0,6.0,0.0,222.0,37.0,37.0,7968.0,1328.0,1328.0,No
69.0,414.0,6.0,0.0,414.0,69.0,69.0,7968.0,1328.0,1328.0,No
172.0,1188.0,18.0,0.0,1152.0,158.0,64.0,8676.0,1328.0,482.0,No
19.0,114.0,6.0,0.0,114.0,19.0,19.0,7968.0,1328.0,1328.0,No
