% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
258.0,4902.0,19.0,0.0,4902.0,258.0,258.0,25232.0,1328.0,1328.0,No
101.0,1919.0,19.0,0.0,1919.0,101.0,101.0,25232.0,1328.0,1328.0,No
178.0,3382.0,19.0,0.0,3382.0,178.0,178.0,25232.0,1328.0,1328.0,No
32.0,608.0,19.0,0.0,608.0,32.0,32.0,25232.0,1328.0,1328.0,No
28.0,532.0,19.0,0.0,532.0,28.0,28.0,25232.0,1328.0,1328.0,No
45.0,855.0,19.0,0.0,855.0,45.0,45.0,25232.0,1328.0,1328.0,No
33.0,665.0,38.0,0.0,646.0,33.0,17.0,266.0,12.0,7.0,No
75.0,1691.0,57.0,0.0,1558.0,75.0,27.0,25460.0,1328.0,446.0,No
251.0,6289.0,57.0,0.0,5909.0,211.0,103.0,27474.0,1328.0,482.0,No
87.0,1653.0,19.0,0.0,1653.0,87.0,87.0,25232.0,1328.0,1328.0,No
82.0,1558.0,19.0,0.0,1558.0,82.0,82.0,25232.0,1328.0,1328.0,No
45.0,855.0,19.0,0.0,855.0,45.0,45.0,25232.0,1328.0,1328.0,No
143.0,2717.0,19.0,0.0,2717.0,143.0,143.0,25232.0,1328.0,1328.0,No
98.0,1862.0,19.0,0.0,1862.0,98.0,98.0,25232.0,1328.0,1328.0,No
46.0,874.0,19.0,0.0,874.0,46.0,46.0,25232.0,1328.0,1328.0,No
32.0,608.0,19.0,0.0,608.0,32.0,32.0,25232.0,1328.0,1328.0,No
102.0,1938.0,19.0,0.0,1938.0,102.0,102.0,25232.0,1328.0,1328.0,No
112.0,2128.0,19.0,0.0,2128.0,112.0,112.0,25232.0,1328.0,1328.0,No
85.0,1615.0,19.0,0.0,1615.0,85.0,85.0,25232.0,1328.0,1328.0,No
57.0,1083.0,19.0,0.0,1083.0,57.0,57.0,25232.0,1328.0,1328.0,No
210.0,3990.0,19.0,0.0,3990.0,210.0,210.0,25232.0,1328.0,1328.0,No
41.0,779.0,19.0,0.0,779.0,41.0,41.0,25232.0,1328.0,1328.0,No
34.0,646.0,19.0,0.0,646.0,34.0,34.0,25232.0,1328.0,1328.0,No
32.0,912.0,57.0,0.0,798.0,28.0,14.0,27588.0,1328.0,484.0,No
140.0,2660.0,19.0,0.0,2660.0,140.0,140.0,25232.0,1328.0,1328.0,No
85.0,1615.0,19.0,0.0,1615.0,85.0,85.0,25232.0,1328.0,1328.0,No
49.0,931.0,19.0,0.0,931.0,49.0,49.0,25232.0,1328.0,1328.0,No
111.0,2109.0,19.0,0.0,2109.0,111.0,111.0,25232.0,1328.0,1328.0,No
46.0,874.0,19.0,0.0,874.0,46.0,46.0,25232.0,1328.0,1328.0,No
91.0,1729.0,19.0,0.0,1729.0,91.0,91.0,25232.0,1328.0,1328.0,No
151.0,2869.0,19.0,0.0,2869.0,151.0,151.0,25232.0,1328.0,1328.0,No
73.0,1387.0,19.0,0.0,1387.0,73.0,73.0,25232.0,1328.0,1328.0,No
44.0,836.0,19.0,0.0,836.0,44.0,44.0,25232.0,1328.0,1328.0,No
47.0,893.0,19.0,0.0,893.0,47.0,47.0,25232.0,1328.0,1328.0,No
66.0,1254.0,19.0,0.0,1254.0,66.0,66.0,25232.0,1328.0,1328.0,No
105.0,1995.0,19.0,0.0,1995.0,105.0,105.0,25232.0,1328.0,1328.0,No
153.0,2907.0,19.0,0.0,2907.0,153.0,153.0,25232.0,1328.0,1328.0,No
49.0,931.0,19.0,0.0,931.0,49.0,49.0,25232.0,1328.0,1328.0,No
53.0,1007.0,19.0,0.0,1007.0,53.0,53.0,25232.0,1328.0,1328.0,No
98.0,1862.0,19.0,0.0,1862.0,98.0,98.0,25232.0,1328.0,1328.0,No
125.0,2375.0,19.0,0.0,2375.0,125.0,125.0,25232.0,1328.0,1328.0,No
40.0,760.0,19.0,0.0,760.0,40.0,40.0,25232.0,1328.0,1328.0,No
169.0,3211.0,38.0,0.0,3211.0,141.0,84.0,25441.0,1328.0,669.0,No
235.0,4465.0,19.0,0.0,4465.0,235.0,235.0,25232.0,1328.0,1328.0,No
177.0,3363.0,19.0,0.0,3363.0,177.0,177.0,25232.0,1328.0,1328.0,No
74.0,1406.0,19.0,0.0,1406.0,74.0,74.0,25232.0,1328.0,1328.0,No
115.0,2185.0,19.0,0.0,2185.0,115.0,115.0,25232.0,1328.0,1328.0,No
134.0,2546.0,38.0,0.0,2546.0,124.0,67.0,25384.0,1328.0,668.0,No
49.0,931.0,19.0,0.0,931.0,49.0,49.0,25232.0,1328.0,1328.0,No
104.0,1976.0,19.0,0.0,1976.0,104.0,104.0,25232.0,1328.0,1328.0,No
34.0,646.0,19.0,0.0,646.0,34.0,34.0,25232.0,1328.0,1328.0,No
101.0,1919.0,38.0,0.0,1919.0,72.0,50.0,25441.0,1328.0,669.0,No
84.0,1596.0,19.0,0.0,1596.0,84.0,84.0,25232.0,1328.0,1328.0,No
213.0,4047.0,19.0,0.0,4047.0,213.0,213.0,25232.0,1328.0,1328.0,No
34.0,646.0,19.0,0.0,646.0,34.0,34.0,25232.0,1328.0,1328.0,No
46.0,874.0,19.0,0.0,874.0,46.0,46.0,25232.0,1328.0,1328.0,No
133.0,2527.0,19.0,0.0,2527.0,133.0,133.0,25232.0,1328.0,1328.0,No
151.0,2869.0,19.0,0.0,2869.0,151.0,151.0,25232.0,1328.0,1328.0,No
399.0,9120.0,57.0,0.0,8626.0,370.0,151.0,26049.0,1328.0,457.0,No
63.0,1197.0,19.0,0.0,1197.0,63.0,63.0,25232.0,1328.0,1328.0,No
96.0,1824.0,19.0,0.0,1824.0,96.0,96.0,25232.0,1328.0,1328.0,No
93.0,1767.0,19.0,0.0,1767.0,93.0,93.0,25232.0,1328.0,1328.0,No
75.0,1425.0,19.0,0.0,1425.0,75.0,75.0,25232.0,1328.0,1328.0,No
29.0,551.0,19.0,0.0,551.0,29.0,29.0,25232.0,1328.0,1328.0,No
175.0,3325.0,19.0,0.0,3325.0,175.0,175.0,25232.0,1328.0,1328.0,No
27.0,513.0,19.0,0.0,513.0,27.0,27.0,25232.0,1328.0,1328.0,No
244.0,4636.0,19.0,0.0,4636.0,244.0,244.0,25232.0,1328.0,1328.0,No
98.0,1976.0,38.0,0.0,1919.0,98.0,50.0,25232.0,1328.0,664.0,No
37.0,703.0,19.0,0.0,703.0,37.0,37.0,25232.0,1328.0,1328.0,No
31.0,589.0,19.0,0.0,589.0,31.0,31.0,25232.0,1328.0,1328.0,No
66.0,1254.0,19.0,0.0,1254.0,66.0,66.0,25232.0,1328.0,1328.0,No
107.0,2033.0,38.0,0.0,2033.0,97.0,53.0,25346.0,1328.0,667.0,No
35.0,665.0,19.0,0.0,665.0,35.0,35.0,25232.0,1328.0,1328.0,No
37.0,703.0,19.0,0.0,703.0,37.0,37.0,25232.0,1328.0,1328.0,No
69.0,1311.0,19.0,0.0,1311.0,69.0,69.0,25232.0,1328.0,1328.0,No
172.0,3762.0,57.0,0.0,3648.0,158.0,64.0,27474.0,1328.0,482.0,No
19.0,361.0,19.0,0.0,361.0,19.0,19.0,25232.0,1328.0,1328.0,No
353.0,6707.0,19.0,0.0,6707.0,353.0,353.0,25232.0,1328.0,1328.0,No
49.0,931.0,19.0,0.0,931.0,49.0,49.0,25232.0,1328.0,1328.0,No
26.0,494.0,19.0,0.0,494.0,26.0,26.0,25232.0,1328.0,1328.0,No
26.0,494.0,19.0,0.0,494.0,26.0,26.0,25232.0,1328.0,1328.0,No
42.0,798.0,19.0,0.0,798.0,42.0,42.0,25232.0,1328.0,1328.0,No
28.0,532.0,19.0,0.0,532.0,28.0,28.0,25232.0,1328.0,1328.0,No
28.0,532.0,19.0,0.0,532.0,28.0,28.0,25232.0,1328.0,1328.0,No
43.0,817.0,19.0,0.0,817.0,43.0,43.0,25232.0,1328.0,1328.0,No
99.0,1881.0,19.0,0.0,1881.0,99.0,99.0,25232.0,1328.0,1328.0,No
65.0,1235.0,19.0,0.0,1235.0,65.0,65.0,25232.0,1328.0,1328.0,No
35.0,665.0,19.0,0.0,665.0,35.0,35.0,25232.0,1328.0,1328.0,No
62.0,1178.0,19.0,0.0,1178.0,62.0,62.0,25232.0,1328.0,1328.0,No
40.0,760.0,19.0,0.0,760.0,40.0,40.0,25232.0,1328.0,1328.0,No
27.0,513.0,19.0,0.0,513.0,27.0,27.0,25232.0,1328.0,1328.0,No
29.0,551.0,19.0,0.0,551.0,29.0,29.0,25232.0,1328.0,1328.0,No
94.0,1862.0,38.0,0.0,1824.0,96.0,48.0,25289.0,1328.0,665.0,No
50.0,950.0,19.0,0.0,950.0,50.0,50.0,25232.0,1328.0,1328.0,No
165.0,3629.0,57.0,0.0,3382.0,150.0,59.0,25726.0,1328.0,451.0,No
43.0,817.0,19.0,0.0,817.0,43.0,43.0,25232.0,1328.0,1328.0,No
180.0,7144.0,76.0,0.0,5434.0,200.0,71.0,27531.0,1328.0,362.0,No
111.0,2109.0,19.0,0.0,2109.0,111.0,111.0,25232.0,1328.0,1328.0,No
66.0,1254.0,19.0,0.0,1254.0,66.0,66.0,25232.0,1328.0,1328.0,No
113.0,2147.0,19.0,0.0,2147.0,113.0,113.0,25232.0,1328.0,1328.0,No
40.0,760.0,19.0,0.0,760.0,40.0,40.0,25232.0,1328.0,1328.0,No
72.0,1368.0,19.0,0.0,1368.0,72.0,72.0,25232.0,1328.0,1328.0,No
66.0,1254.0,19.0,0.0,1254.0,66.0,66.0,25232.0,1328.0,1328.0,No
77.0,1463.0,19.0,0.0,1463.0,77.0,77.0,25232.0,1328.0,1328.0,No
59.0,1121.0,19.0,0.0,1121.0,59.0,59.0,25232.0,1328.0,1328.0,No
184.0,3496.0,19.0,0.0,3496.0,184.0,184.0,25232.0,1328.0,1328.0,No
95.0,1805.0,19.0,0.0,1805.0,95.0,95.0,25232.0,1328.0,1328.0,No
102.0,1938.0,19.0,0.0,1938.0,102.0,102.0,25232.0,1328.0,1328.0,No
183.0,3477.0,19.0,0.0,3477.0,183.0,183.0,25232.0,1328.0,1328.0,No
119.0,2261.0,19.0,0.0,2261.0,119.0,119.0,25232.0,1328.0,1328.0,No
50.0,950.0,19.0,0.0,950.0,50.0,50.0,25232.0,1328.0,1328.0,No
211.0,4009.0,19.0,0.0,4009.0,211.0,211.0,25232.0,1328.0,1328.0,No
54.0,1026.0,19.0,0.0,1026.0,54.0,54.0,25232.0,1328.0,1328.0,No
221.0,4465.0,57.0,0.0,4332.0,221.0,76.0,25783.0,1328.0,452.0,No
705.0,14383.0,57.0,0.0,13889.0,711.0,243.0,25726.0,1328.0,451.0,No
116.0,2204.0,19.0,0.0,2204.0,116.0,116.0,25232.0,1328.0,1328.0,No
443.0,9101.0,38.0,0.0,8759.0,436.0,230.0,25346.0,1328.0,667.0,No
119.0,2261.0,19.0,0.0,2261.0,119.0,119.0,25232.0,1328.0,1328.0,No
311.0,6479.0,57.0,0.0,6194.0,304.0,108.0,25308.0,1328.0,444.0,No
90.0,1710.0,19.0,0.0,1710.0,90.0,90.0,25232.0,1328.0,1328.0,No
41.0,779.0,19.0,0.0,779.0,41.0,41.0,25232.0,1328.0,1328.0,No
32.0,608.0,19.0,0.0,608.0,32.0,32.0,25232.0,1328.0,1328.0,No
33.0,627.0,19.0,0.0,627.0,33.0,33.0,25232.0,1328.0,1328.0,No
272.0,5928.0,57.0,0.0,5548.0,271.0,97.0,25935.0,1328.0,455.0,No
48.0,1140.0,57.0,0.0,1026.0,41.0,18.0,25935.0,1328.0,455.0,No
96.0,2166.0,57.0,0.0,1938.0,102.0,34.0,27474.0,1328.0,482.0,No
259.0,5073.0,38.0,0.0,4997.0,209.0,131.0,25384.0,1328.0,668.0,No
69.0,1729.0,57.0,0.0,1539.0,67.0,27.0,27531.0,1328.0,483.0,No
82.0,1558.0,19.0,0.0,1558.0,82.0,82.0,25232.0,1328.0,1328.0,No
268.0,6308.0,76.0,0.0,5681.0,221.0,74.0,27702.0,1328.0,364.0,No
176.0,3344.0,19.0,0.0,3344.0,176.0,176.0,25232.0,1328.0,1328.0,No
37.0,703.0,19.0,0.0,703.0,37.0,37.0,25232.0,1328.0,1328.0,No
237.0,5358.0,57.0,0.0,5054.0,224.0,88.0,27588.0,1328.0,484.0,No
334.0,6346.0,19.0,0.0,6346.0,334.0,334.0,25232.0,1328.0,1328.0,No
263.0,6213.0,57.0,0.0,5605.0,263.0,98.0,27474.0,1328.0,482.0,No
249.0,5833.0,76.0,0.0,5377.0,234.0,70.0,27797.0,1328.0,365.0,No
305.0,6403.0,57.0,0.0,6099.0,309.0,107.0,25536.0,1328.0,448.0,No
235.0,4807.0,38.0,0.0,4636.0,219.0,122.0,25270.0,1328.0,665.0,No
527.0,12597.0,114.0,0.0,11191.0,553.0,98.0,27626.0,1328.0,242.0,No
195.0,3705.0,19.0,0.0,3705.0,195.0,195.0,25232.0,1328.0,1328.0,No
70.0,2584.0,57.0,0.0,2014.0,64.0,35.0,27474.0,1328.0,482.0,No
555.0,13376.0,95.0,0.0,12103.0,537.0,127.0,27664.0,1328.0,291.0,No
110.0,2090.0,19.0,0.0,2090.0,110.0,110.0,25232.0,1328.0,1328.0,No
194.0,3686.0,19.0,0.0,3686.0,194.0,194.0,25232.0,1328.0,1328.0,No
187.0,3553.0,19.0,0.0,3553.0,187.0,187.0,25232.0,1328.0,1328.0,No
140.0,2660.0,19.0,0.0,2660.0,140.0,140.0,25232.0,1328.0,1328.0,No
100.0,1900.0,19.0,0.0,1900.0,100.0,100.0,25232.0,1328.0,1328.0,No
274.0,6118.0,57.0,0.0,5776.0,262.0,101.0,27588.0,1328.0,484.0,No
174.0,3306.0,19.0,0.0,3306.0,174.0,174.0,25232.0,1328.0,1328.0,No
