% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
258.0,2322.0,9.0,0.0,2322.0,258.0,258.0,11952.0,1328.0,1328.0,No
101.0,909.0,9.0,0.0,909.0,101.0,101.0,11952.0,1328.0,1328.0,No
178.0,1602.0,9.0,0.0,1602.0,178.0,178.0,11952.0,1328.0,1328.0,No
32.0,288.0,9.0,0.0,288.0,32.0,32.0,11952.0,1328.0,1328.0,No
28.0,252.0,9.0,0.0,252.0,28.0,28.0,11952.0,1328.0,1328.0,No
45.0,405.0,9.0,0.0,405.0,45.0,45.0,11952.0,1328.0,1328.0,No
33.0,315.0,18.0,0.0,306.0,33.0,17.0,126.0,12.0,7.0,No
75.0,801.0,27.0,0.0,738.0,75.0,27.0,12060.0,1328.0,446.0,No
251.0,2979.0,27.0,0.0,2799.0,211.0,103.0,13014.0,1328.0,482.0,No
87.0,783.0,9.0,0.0,783.0,87.0,87.0,11952.0,1328.0,1328.0,No
82.0,738.0,9.0,0.0,738.0,82.0,82.0,11952.0,1328.0,1328.0,No
45.0,405.0,9.0,0.0,405.0,45.0,45.0,11952.0,1328.0,1328.0,No
143.0,1287.0,9.0,0.0,1287.0,143.0,143.0,11952.0,1328.0,1328.0,No
98.0,882.0,9.0,0.0,882.0,98.0,98.0,11952.0,1328.0,1328.0,No
46.0,414.0,9.0,0.0,414.0,46.0,46.0,11952.0,1328.0,1328.0,No
32.0,288.0,9.0,0.0,288.0,32.0,32.0,11952.0,1328.0,1328.0,No
102.0,918.0,9.0,0.0,918.0,102.0,102.0,11952.0,1328.0,1328.0,No
112.0,1008.0,9.0,0.0,1008.0,112.0,112.0,11952.0,1328.0,1328.0,No
85.0,765.0,9.0,0.0,765.0,85.0,85.0,11952.0,1328.0,1328.0,No
57.0,513.0,9.0,0.0,513.0,57.0,57.0,11952.0,1328.0,1328.0,No
210.0,1890.0,9.0,0.0,1890.0,210.0,210.0,11952.0,1328.0,1328.0,No
41.0,369.0,9.0,0.0,369.0,41.0,41.0,11952.0,1328.0,1328.0,No
34.0,306.0,9.0,0.0,306.0,34.0,34.0,11952.0,1328.0,1328.0,No
32.0,432.0,27.0,0.0,378.0,28.0,14.0,13068.0,1328.0,484.0,No
140.0,1260.0,9.0,0.0,1260.0,140.0,140.0,11952.0,1328.0,1328.0,No
85.0,765.0,9.0,0.0,765.0,85.0,85.0,11952.0,1328.0,1328.0,No
49.0,441.0,9.0,0.0,441.0,49.0,49.0,11952.0,1328.0,1328.0,No
111.0,999.0,9.0,0.0,999.0,111.0,111.0,11952.0,1328.0,1328.0,No
46.0,414.0,9.0,0.0,414.0,46.0,46.0,11952.0,1328.0,1328.0,No
91.0,819.0,9.0,0.0,819.0,91.0,91.0,11952.0,1328.0,1328.0,No
151.0,1359.0,9.0,0.0,1359.0,151.0,151.0,11952.0,1328.0,1328.0,No
73.0,657.0,9.0,0.0,657.0,73.0,73.0,11952.0,1328.0,1328.0,No
44.0,396.0,9.0,0.0,396.0,44.0,44.0,11952.0,1328.0,1328.0,No
